Date,United Kingdom
2021-09-19,7464810
2021-09-20,7500714
2021-09-21,7531888
2021-09-22,7565724
2021-09-23,7601565
2021-09-24,7637276
2021-09-25,7667289
2021-09-26,7700384
2021-09-27,7737963
2021-09-28,7772759
2021-09-29,7808025
2021-09-30,7843855
2021-10-01,7878555
2021-10-02,7908101
2021-10-03,7937835
2021-10-04,7972302
2021-10-05,8005486
2021-10-06,8044408
2021-10-07,8084296
2021-10-08,8119411
2021-10-09,8158942
2021-10-10,8192634
2021-10-11,8232283
2021-10-12,8270131
2021-10-13,8311801
2021-10-14,8356546
2021-10-15,8400946
2021-10-16,8443898
2021-10-17,8488755
2021-10-18,8537615
2021-10-19,8581209
2021-10-20,8630019
2021-10-21,8681729
2021-10-22,8730733
2021-10-23,8775894
2021-10-24,8814789
2021-10-25,8851040
2021-10-26,8894807
2021-10-27,8938909
2021-10-28,8978370
2021-10-29,9021626
2021-10-30,9062715
2021-10-31,9100533
2021-11-01,9140352
2021-11-02,9174089
2021-11-03,9215691
2021-11-04,9252557
2021-11-05,9286511
2021-11-06,9317081
2021-11-07,9347062
2021-11-08,9379205
2021-11-09,9412197
2021-11-10,9451810
2021-11-11,9495255
2021-11-12,9534422
2021-11-13,9572415
2021-11-14,9608830
2021-11-15,9649092
2021-11-16,9686227
2021-11-17,9724444
2021-11-18,9772540
2021-11-19,9817330
2021-11-20,9857655
2021-11-21,9897448
2021-11-22,9942671
2021-11-23,9985536
2021-11-24,10028653
2021-11-25,10075820
2021-11-26,10125736
2021-11-27,10165777
2021-11-28,10202537
2021-11-29,10245033
2021-11-30,10285443
2021-12-01,10333452
2021-12-02,10386944
2021-12-03,10438148
2021-12-04,10479966
2021-12-05,10523594
2021-12-06,10574930
2021-12-07,10620303
2021-12-08,10671356
2021-12-09,10721839
2021-12-10,10780442
2021-12-11,10833032
2021-12-12,10881385
2021-12-13,10935598
2021-12-14,10995158
2021-12-15,11073251
2021-12-16,11161258
2021-12-17,11254194
2021-12-18,11343591
2021-12-19,11425878
2021-12-20,11518027
2021-12-21,11607587
2021-12-22,11713355
2021-12-23,11836593
2021-12-24,11958451
2021-12-25,12080799
2021-12-26,12200165
2021-12-27,12308123
2021-12-28,12446467
2021-12-29,12629503
2021-12-30,12819883
2021-12-31,13010853
2022-01-01,13174530
2022-01-02,13310224
2022-01-03,13498751
